Command,Length,DWStart,DWEnd,BitStart,BitEnd,FieldSet,FieldName,SubFieldName,Flag,Attribute,CheckCond
0x0e800000,0x2,,,,,,MI_FORCE_WAKEUP,,,match,
0x13000080,0x1,,,,,,MI_FLUSH_DW,,,,
,,0,0,16,16,,Flush CCS,,,waiver,
0x73ca0001,0x3,,,,,,CMD_VVCP_VD_CONTROL_STATE,,,match,
0x73c00004,0x6,,,,,,CMD_VVCP_PIPE_MODE_SELECT,,,,
,,1,1,24,31,,AES Control,,,waiver,
0x73c10003,0x5,,,,,,CMD_VVCP_SURFACE_STATE,,surface_state_num,,
,,1,1,0,16,,Surface Pitch Minus1,,,non_null,
,,2,2,0,14,,Y Offset for U(Cb) in pixel,,,non_null,
,,4,4,16,20,,Compression Format,,,match,MMC=ON (from tool cmd line)
0x73c200b6,0xb8,,,,,,CMD_VVCP_PIPE_BUF_ADDR_STATE,,,match,
,,1,2,0,31,Decoded Picture,Decoded Picture Base Address,,,non_null,
,,3,3,1,6,,Decoded Picture Memory Address Attributes,Attributes - Index to Memory Object Control State (MOCS) Tables,,waiver,
,,3,3,13,14,,Decoded Picture Memory Address Attributes,TILEMODE,,waiver,
,,3,3,15,31,,Decoded Picture Memory Address Attributes,Reserved,,waiver,
,,4,5,0,31,ReferencePicture[0],Reference Pictures [i] Base Address,,,non_null,surface_state_num > 1
,,6,6,1,6,,Reference Picture [i] Memory Address Attributes,Index to Memory Object Control State (MOCS) Tables,,waiver,
,,6,6,13,14,,Reference Picture [i] Memory Address Attributes,TILEMODE,,waiver,
,,7,8,0,31,ReferencePicture[1],Reference Pictures [i] Base Address,,,non_null,surface_state_num > 2
,,9,9,1,6,,Reference Picture [i] Memory Address Attributes,Index to Memory Object Control State (MOCS) Tables,,waiver,
,,9,9,13,14,,Reference Picture [i] Memory Address Attributes,TILEMODE,,waiver,
,,10,11,0,31,ReferencePicture[2],Reference Pictures [i] Base Address,,,non_null,surface_state_num > 3
,,12,12,1,6,,Reference Picture [i] Memory Address Attributes,Index to Memory Object Control State (MOCS) Tables,,waiver,
,,12,12,13,14,,Reference Picture [i] Memory Address Attributes,TILEMODE,,waiver,
,,13,14,0,31,ReferencePicture[3],Reference Pictures [i] Base Address,,,non_null,surface_state_num > 4
,,15,15,1,6,,Reference Picture [i] Memory Address Attributes,Index to Memory Object Control State (MOCS) Tables,,waiver,
,,15,15,13,14,,Reference Picture [i] Memory Address Attributes,TILEMODE,,waiver,
,,16,17,0,31,ReferencePicture[4],Reference Pictures [i] Base Address,,,non_null,surface_state_num > 5
,,18,18,1,6,,Reference Picture [i] Memory Address Attributes,Index to Memory Object Control State (MOCS) Tables,,waiver,
,,18,18,13,14,,Reference Picture [i] Memory Address Attributes,TILEMODE,,waiver,
,,19,20,0,31,ReferencePicture[5],Reference Pictures [i] Base Address,,,non_null,surface_state_num > 6
,,21,21,1,6,,Reference Picture [i] Memory Address Attributes,Index to Memory Object Control State (MOCS) Tables,,waiver,
,,21,21,13,14,,Reference Picture [i] Memory Address Attributes,TILEMODE,,waiver,
,,22,23,0,31,ReferencePicture[6],Reference Pictures [i] Base Address,,,non_null,surface_state_num > 7
,,24,24,1,6,,Reference Picture [i] Memory Address Attributes,Index to Memory Object Control State (MOCS) Tables,,waiver,
,,24,24,13,14,,Reference Picture [i] Memory Address Attributes,TILEMODE,,waiver,
